,0
0,'
1,'*typo
2,'..
3,'.and
4,'.but
5,'.com
6,'.do
7,'/you/hysterical_banana
8,'100
9,'10bay
10,'10x
11,'12l
12,'1455
13,'18
14,'19
15,'20
16,'2010
17,'2016
18,'2021
19,'2022
20,'2030s
21,'2k22
22,'2m
23,'30
24,'35
25,'35.51
26,'40
27,'42.57
28,'48
29,'50/50
30,'50k
31,'5g
32,'5m
33,'5pm
34,'60ftÂ²
35,'6th
36,'719
37,'72
38,'7pm..
39,'80
40,'995.00
41,'aaa
42,'abbas
43,'abbasØ¹
44,'abbasØ¹the
45,'abet
46,'account
47,'acquisition
48,'act
49,'activity
50,'add
51,'additional
52,'admit
53,'adoption
54,'advance
55,'advocate
56,'aew
57,'afford
58,'afghanistan
59,'afraid
60,'after
61,'age
62,'agency
63,'aggression
64,'agitate
65,'aid
66,'air
67,'aircraft
68,'airspace
69,'al
70,'alex
71,'alexandar
72,'ali
73,'all
74,'allow
75,'allulbayt
76,'along
77,'alpha
78,'also
79,'always
80,'amaze
81,'amazon
82,'ambassador
83,'amc
84,'among
85,'amount
86,'amp
87,'anarchism
88,'and
89,'angel
90,'angry
91,'annex
92,'anniversary
93,'answer
94,'anti
95,'antisemitism
96,'anxiety
97,'apart
98,'apartheid
99,'apps
100,'ar
101,'arabia
102,'aramide
103,'army
104,'art
105,'artillery
106,'as
107,'aspect
108,'assault
109,'assess
110,'aswell
111,'at
112,'ate
113,'atlanta
114,'atrocity
115,'attiah
116,'author
117,'avatar
118,'average
119,'awake
120,'aww
121,'ayo
122,'bab
123,'baby
124,'backðŸ˜‚
125,'bacteria
126,'bad
127,'balance
128,'ban
129,'bani
130,'bank
131,'banner
132,'base
133,'basis
134,'bass
135,'battlefield
136,'bbc
137,'be
138,'because
139,'beckett
140,'become
141,'believe
142,'berylbit
143,'better
144,'bf
145,'bhaskar.dasgupta
146,'bibi
147,'biden
148,'big
149,'billion
150,'billionaire
151,'black/feinstein
152,'blackbloques
153,'blog
154,'bloody
155,'bluetooth
156,'boba
157,'body
158,'boo
159,'booker
160,'booty
161,'bottom
162,'boundary
163,'bow
164,'bowl
165,'boxer
166,'bracelet
167,'brainwash
168,'brand
169,'break
170,'breath
171,'bridge
172,'bro
173,'brock
174,'bros
175,'buddy
176,'budget
177,'build
178,'buoni
179,'business
180,'businessman
181,'but
182,'button
183,'buy
184,'by
185,'byford/the
186,'calendar
187,'calico
188,'calm
189,'camisole
190,'campaign
191,'camuto
192,'canada
193,'cancel
194,'cancer
195,'candidate
196,'car
197,'carbon
198,'cardigan
199,'care
200,'carlson
201,'carrier
202,'carry
203,'case
204,'casualty
205,'category
206,'cdc
207,'celebrate
208,'celery
209,'cent
210,'centre
211,'cg
212,'ch
213,'chance
214,'change
215,'channel
216,'character
217,'charity
218,'charlotte
219,'chart
220,'chatham
221,'cheap
222,'check
223,'cheer
224,'chef
225,'chhandam
226,'chikara
227,'child
228,'china
229,'choice
230,'choose
231,'christianity
232,'christmas
233,'citizen
234,'city
235,'claim
236,'class
237,'classroom
238,'clean-up
239,'cleaner
240,'cliche
241,'click
242,'clicky
243,'close
244,'closet
245,'clothes
246,'club
247,'clubwoman
248,'clue
249,'cluster
250,'cmc
251,'cnbc
252,'coach
253,'cod
254,'cohesion
255,'coin
256,'collection
257,'color
258,'combo
259,'come
260,'commission
261,'commit
262,'comms
263,'communism
264,'community
265,'compassionate
266,'competition
267,'complacency
268,'comprehension
269,'concern
270,'concur
271,'conference
272,'conflate
273,'conflict
274,'congrats
275,'congratulation
276,'constand
277,'contact
278,'content
279,'contrary
280,'contribution
281,'control
282,'cookie
283,'cool
284,'corporate
285,'corporation
286,'cosmic
287,'count
288,'country
289,'court
290,'covid
291,'crap
292,'crazy
293,'create
294,'criminal
295,'crucial
296,'cruel
297,'crypto
298,'cuff
299,'cult
300,'culture
301,'cup
302,'current
303,'curry
304,'cut
305,'cutter
306,'cuz
307,'daddy
308,'damage
309,'damn
310,'dan
311,'dangle
312,'dark
313,'data
314,'days..
315,'dazzle
316,'dc
317,'de
318,'dealer
319,'death
320,'decide
321,'declare
322,'define
323,'delete
324,'delivery
325,'demonstration
326,'demure
327,'depends
328,'deploy
329,'desert
330,'deserve
331,'design
332,'desk
333,'desrve
334,'destroy
335,'destruction
336,'detail
337,'detention
338,'detroit
339,'device
340,'dewelpmet
341,'dey
342,'dictator
343,'die
344,'diesel
345,'diet
346,'different
347,'difficult
348,'din
349,'dinner
350,'dioxide
351,'dip
352,'direct
353,'direction
354,'discard
355,'discography
356,'discus
357,'discussion
358,'divlji
359,'dm
360,'dnt
361,'do
362,'dob
363,'doe
364,'dog
365,'donald
366,'donate
367,'donation
368,'donkey
369,'donor
370,'door
371,'doubt
372,'dpd
373,'draco
374,'dress
375,'dress..
376,'drum
377,'dude
378,'durov
379,'dya
380,'eagle
381,'ease
382,'eastern
383,'easy
384,'economic
385,'economics
386,'ed
387,'editor
388,'educate
389,'education
