created_at,location,name,text,username
2022-03-31 23:59:57+00:00,,TululaInc,"We are devastated by the escalating war and human tragedy in Ukraine 🇺🇦 
Many of our friends, partners and family are affected.
As a team and company, we have been sending aid  through trusted organizations like @RealNovaUkraine and @WCKitchen.
Please contribute if you can💙💛",TululaInc
2022-03-31 23:59:52+00:00,"Mansfield, TX",John Gravois,"Texas power grid, energy sectors facing elevated Russian cyber threats during war in Ukraine, @TexasTribune reports. #TexasPowerGrid #cybersecurity #Ukraine https://t.co/HwFXhmNOpR",Grav1
2022-03-31 23:59:35+00:00,United States ,BullfightBanUS 🇺🇸🇺🇦,RUSSIA'S WAR IN UKRAINE: I'm a U.S. Veteran. I Went to Ukraine to Train Civilian Volunteers to Fight. https://t.co/EWBeQvrWfB via @Yahoo,BullfightBanUS
2022-03-31 23:59:31+00:00,"Forgetaboutit, New Jersey, USA",Maria Bonanno,"Forget about the Russia/Ukraine War We’re going to have a violent border war here in the US when millions of foreigners invade the US as Biden ends Title 42 in May Whoever is running the US,it sure as hell isn’t slow moving inept dementia Biden, is hellbent on destroying America https://t.co/E8shtZrB0L",MariaBonanno9
2022-03-31 23:59:23+00:00,"Noth County, San Diego",Running is a team sport,"@Jim_Jordan Omg, let it rest..we have bigger problems, like a war in Ukraine, a climate catastrophe, homeless people, refugees at the border. Spend your time more wisely..",maribarosay
2022-03-31 23:59:06+00:00,"Melbourne, Australia",Sasha Uzunov,"In light of the Ukraine war - the #Macedonia Parliament should investigate the activities of ex MP Pavle Bogoevski 

@Prizma_BIRN @dw_macedonian @BIRNMacedonia @BIRN_BTJ @RepublikaEng @VecerOfficial @AMiloshoski @SPendarovski @iconajdovski @BrankoTricko https://t.co/FDNzrxuKXD",UZI9mmmm
2022-03-31 23:59:03+00:00,,Bloomberg Green,"Joe Biden delivered his strongest endorsement of oil on Thursday, gambling his climate-saving credentials on lowering gasoline prices in an election year https://t.co/iZrTmqZ4pa",climate
2022-03-31 23:58:37+00:00,,Imperialist Word Salad Crouton Cruncher,"@briantylercohen We voted for Black Lives Matter.  Democrats destabilized the globe, started a Hot War with Russia, convinced us to arm Nazis in Ukraine, kicked off the 2nd cold war with China, and now told us food shortages are coming to America.",ReparationsNow4
2022-03-31 23:58:33+00:00,,creston quin,Ramzan Kadyrov slammed after Ukraine brag as online post puts Chechen leader in Russia https://t.co/nSstFh6z0A #SmartNews,CrestonQ
2022-03-31 23:58:26+00:00,,Yuliya,"@ferrarischitzel @StopCovVariants @ICRC Interesting quote in the article: ""will never support or facilitate"" - would be nice to see it preceded by ""has never supported or conducted"" So we don't know how/why in the 1st weeks of the war they were almost invisible in #Ukraine or #Poland. Hoping it's different now",UAYuRiv
2022-03-31 23:58:14+00:00,,Russian Tanker Tracker,"📢Lng Tanker Coral Energice is estimated to arrive at Pori - Finland in the next 24 hours

It’s loaded with Russian fossil fuels funding Putin's war on Ukraine. Track it: #RussianTankerTracker https://t.co/ocUaclO4F8 https://t.co/BFUdSHfsFe",RUTankerTracker
2022-03-31 23:58:14+00:00,"iPhone: 47.699819,-117.276510",terrymr,@GMA Can you talk about the Supreme Court Justices wife that tried to overthrow the government or the war in Ukraine or anything remotely useful to people instead ?,terrymr
2022-03-31 23:58:12+00:00,,321Tim,"@FrankLuntz @DavidWestin I think he caused them… 

3 trillion in spending in the first months of his administration 

Not fixing supply chain

Canceled keystone and leases 

Yes he caused inflation 

Kamala encouraged Ukraine to join NATO yes he caused the war

I can go on but you are a shill so why",tim3900
2022-03-31 23:58:10+00:00,"Warsaw, Poland",CAPD,"➡️ What kind of methods were used by the Russian online media in order to build a negative image of NATO in 2020 and 2021, long before the start of the war in Ukraine? https://t.co/8nRxZcdLKC",Fundacja_CAPD
2022-03-31 23:58:10+00:00,"London, England",Maxim Alyukov,"The story of @doxa_journal - some of the bravest journalists in Russia facing absolutely Kafkaesque charges. It is a unique student media focusing on political censorship in universities. Unlike many, they also refused to stop covering Russia’s war in Ukraine. Worth a read. https://t.co/FToO2mnttl",MaximAlyukov
2022-03-31 23:58:09+00:00,Wisconsin ,Scott Cee - Source Global,"Source Global Primetime starts in 2 minutes with a recap of developments in the war in #Ukraine. Tune in below. #UkraineWar 

Live Source Global 24/7 HD Multiple Camera / Audio Ukraine Coverage:
https://t.co/wzgZKlWqmD",ScottCeeSG
2022-03-31 23:58:08+00:00,,trstdtravlr,I overhear How MSF is responding to the war in Ukraine,trstdtravlr
