,stopwords_removed,pos_tags,wordnet_pos,lemmatized
0,"['israeli', 'occupation', 'forces', 'brutally', 'assaulted', 'and', 'detained', 'palestinian', 'young', 'man', 'at', 'gate', 'bab', 'al', 'sahira', 'in', 'old', 'city', 'jerusalem']","[('israeli', 'JJ'), ('occupation', 'NN'), ('forces', 'NNS'), ('brutally', 'RB'), ('assaulted', 'VBN'), ('and', 'CC'), ('detained', 'VBN'), ('palestinian', 'JJ'), ('young', 'JJ'), ('man', 'NN'), ('at', 'IN'), ('gate', 'JJ'), ('bab', 'NN'), ('al', 'NN'), ('sahira', 'NN'), ('in', 'IN'), ('old', 'JJ'), ('city', 'NN'), ('jerusalem', 'NN')]","[('israeli', 'a'), ('occupation', 'n'), ('forces', 'n'), ('brutally', 'r'), ('assaulted', 'v'), ('and', 'n'), ('detained', 'v'), ('palestinian', 'a'), ('young', 'a'), ('man', 'n'), ('at', 'n'), ('gate', 'a'), ('bab', 'n'), ('al', 'n'), ('sahira', 'n'), ('in', 'n'), ('old', 'a'), ('city', 'n'), ('jerusalem', 'n')]","['israeli', 'occupation', 'force', 'brutally', 'assault', 'and', 'detain', 'palestinian', 'young', 'man', 'at', 'gate', 'bab', 'al', 'sahira', 'in', 'old', 'city', 'jerusalem']"
1,"['sending', 'you', 'love', 'i', 'know', 'this', 'pain', 'all', 'too', 'well', 'absolutely', 'okay', 'to', 'not', 'be', 'okay', 'take', 'care', 'yourself', 'and', 'do', 'something', 'special', 'to', 'remember', 'them', 'sit', 'and', 'talk', 'to', 'them', 'little', 'does', 'help', '🖤']","[('sending', 'VBG'), ('you', 'PRP'), ('love', 'VBP'), ('i', 'RB'), ('know', 'VBP'), ('this', 'DT'), ('pain', 'NN'), ('all', 'DT'), ('too', 'RB'), ('well', 'RB'), ('absolutely', 'RB'), ('okay', 'VBP'), ('to', 'TO'), ('not', 'RB'), ('be', 'VB'), ('okay', 'JJ'), ('take', 'VB'), ('care', 'NN'), ('yourself', 'PRP'), ('and', 'CC'), ('do', 'VB'), ('something', 'NN'), ('special', 'JJ'), ('to', 'TO'), ('remember', 'VB'), ('them', 'PRP'), ('sit', 'VB'), ('and', 'CC'), ('talk', 'VB'), ('to', 'TO'), ('them', 'PRP'), ('little', 'RB'), ('does', 'VBZ'), ('help', 'VB'), ('🖤', 'VB')]","[('sending', 'v'), ('you', 'n'), ('love', 'v'), ('i', 'r'), ('know', 'v'), ('this', 'n'), ('pain', 'n'), ('all', 'n'), ('too', 'r'), ('well', 'r'), ('absolutely', 'r'), ('okay', 'v'), ('to', 'n'), ('not', 'r'), ('be', 'v'), ('okay', 'a'), ('take', 'v'), ('care', 'n'), ('yourself', 'n'), ('and', 'n'), ('do', 'v'), ('something', 'n'), ('special', 'a'), ('to', 'n'), ('remember', 'v'), ('them', 'n'), ('sit', 'v'), ('and', 'n'), ('talk', 'v'), ('to', 'n'), ('them', 'n'), ('little', 'r'), ('does', 'v'), ('help', 'v'), ('🖤', 'v')]","['send', 'you', 'love', 'i', 'know', 'this', 'pain', 'all', 'too', 'well', 'absolutely', 'okay', 'to', 'not', 'be', 'okay', 'take', 'care', 'yourself', 'and', 'do', 'something', 'special', 'to', 'remember', 'them', 'sit', 'and', 'talk', 'to', 'them', 'little', 'do', 'help', '🖤']"
2,"['last', 'week', 'jurors', 'heard', 'from', 'guy', 'reffitt', '’', 's', 'friend', 'who', 'testified', 'with', 'immunity']","[('last', 'JJ'), ('week', 'NN'), ('jurors', 'NNS'), ('heard', 'VBP'), ('from', 'IN'), ('guy', 'NN'), ('reffitt', 'NN'), ('’', 'NNP'), ('s', 'NN'), ('friend', 'NN'), ('who', 'WP'), ('testified', 'VBD'), ('with', 'IN'), ('immunity', 'NN')]","[('last', 'a'), ('week', 'n'), ('jurors', 'n'), ('heard', 'v'), ('from', 'n'), ('guy', 'n'), ('reffitt', 'n'), ('’', 'n'), ('s', 'n'), ('friend', 'n'), ('who', 'n'), ('testified', 'v'), ('with', 'n'), ('immunity', 'n')]","['last', 'week', 'juror', 'hear', 'from', 'guy', 'reffitt', '’', 's', 'friend', 'who', 'testify', 'with', 'immunity']"
3,"['in', 'love', 'with', 'taehyung', ""'s"", 'sweet', 'voice', 'amp', 'lovely', 'song', 'hashtag', '2m', 'shazams', 'v', 'kim', 'taehyung', 'listen', 'stream', 'and', 'shazam', 'hashtag', 'by', 'hashtag', 'longest', 'charting', 'korean', 'ost', 'on', 'global', 'shazam']","[('in', 'IN'), ('love', 'NN'), ('with', 'IN'), ('taehyung', 'NN'), (""'s"", 'POS'), ('sweet', 'JJ'), ('voice', 'NN'), ('amp', 'NN'), ('lovely', 'RB'), ('song', 'JJ'), ('hashtag', 'NN'), ('2m', 'CD'), ('shazams', 'NNS'), ('v', 'VBP'), ('kim', 'JJ'), ('taehyung', 'NN'), ('listen', 'VBP'), ('stream', 'NN'), ('and', 'CC'), ('shazam', 'NN'), ('hashtag', 'NN'), ('by', 'IN'), ('hashtag', 'NN'), ('longest', 'JJS'), ('charting', 'VBG'), ('korean', 'JJ'), ('ost', 'NN'), ('on', 'IN'), ('global', 'JJ'), ('shazam', 'NN')]","[('in', 'n'), ('love', 'n'), ('with', 'n'), ('taehyung', 'n'), (""'s"", 'n'), ('sweet', 'a'), ('voice', 'n'), ('amp', 'n'), ('lovely', 'r'), ('song', 'a'), ('hashtag', 'n'), ('2m', 'n'), ('shazams', 'n'), ('v', 'v'), ('kim', 'a'), ('taehyung', 'n'), ('listen', 'v'), ('stream', 'n'), ('and', 'n'), ('shazam', 'n'), ('hashtag', 'n'), ('by', 'n'), ('hashtag', 'n'), ('longest', 'a'), ('charting', 'v'), ('korean', 'a'), ('ost', 'n'), ('on', 'n'), ('global', 'a'), ('shazam', 'n')]","['in', 'love', 'with', 'taehyung', ""'s"", 'sweet', 'voice', 'amp', 'lovely', 'song', 'hashtag', '2m', 'shazams', 'v', 'kim', 'taehyung', 'listen', 'stream', 'and', 'shazam', 'hashtag', 'by', 'hashtag', 'long', 'chart', 'korean', 'ost', 'on', 'global', 'shazam']"
4,"['help', 'stop', 'scoundrel', 'who', 'destroying', 'my', 'homeland', 'your', 'country', 'are', 'next', 'putler', 'will', 'not', 'stop', 'he', 'monster', 'remember', 'history', 'putler', 'covers', 'all', 'bloody', 'deeds', 'with', 'charity', 'close', 'airspace', 'over', 'ukraine', 'provide', 'aircraft']","[('help', 'NN'), ('stop', 'VB'), ('scoundrel', 'NN'), ('who', 'WP'), ('destroying', 'VBG'), ('my', 'PRP$'), ('homeland', 'NN'), ('your', 'PRP$'), ('country', 'NN'), ('are', 'VBP'), ('next', 'JJ'), ('putler', 'NN'), ('will', 'MD'), ('not', 'RB'), ('stop', 'VB'), ('he', 'PRP'), ('monster', 'JJ'), ('remember', 'VB'), ('history', 'NN'), ('putler', 'NN'), ('covers', 'VBZ'), ('all', 'DT'), ('bloody', 'JJ'), ('deeds', 'NNS'), ('with', 'IN'), ('charity', 'NN'), ('close', 'RB'), ('airspace', 'NN'), ('over', 'IN'), ('ukraine', 'JJ'), ('provide', 'NN'), ('aircraft', 'NN')]","[('help', 'n'), ('stop', 'v'), ('scoundrel', 'n'), ('who', 'n'), ('destroying', 'v'), ('my', 'n'), ('homeland', 'n'), ('your', 'n'), ('country', 'n'), ('are', 'v'), ('next', 'a'), ('putler', 'n'), ('will', 'n'), ('not', 'r'), ('stop', 'v'), ('he', 'n'), ('monster', 'a'), ('remember', 'v'), ('history', 'n'), ('putler', 'n'), ('covers', 'v'), ('all', 'n'), ('bloody', 'a'), ('deeds', 'n'), ('with', 'n'), ('charity', 'n'), ('close', 'r'), ('airspace', 'n'), ('over', 'n'), ('ukraine', 'a'), ('provide', 'n'), ('aircraft', 'n')]","['help', 'stop', 'scoundrel', 'who', 'destroy', 'my', 'homeland', 'your', 'country', 'be', 'next', 'putler', 'will', 'not', 'stop', 'he', 'monster', 'remember', 'history', 'putler', 'cover', 'all', 'bloody', 'deed', 'with', 'charity', 'close', 'airspace', 'over', 'ukraine', 'provide', 'aircraft']"
5,"['do', 'you', 'want', 'to', 'learn', 'to', 'hang', 'clean', 'like', 'jake', 'tarka', 'register', '2022', 'natick', 'summer', 'strength', 'and', 'conditioning', 'program', 'registration', 'information', 'coming', 'soon']","[('do', 'VBP'), ('you', 'PRP'), ('want', 'VB'), ('to', 'TO'), ('learn', 'VB'), ('to', 'TO'), ('hang', 'VB'), ('clean', 'JJ'), ('like', 'IN'), ('jake', 'NN'), ('tarka', 'NN'), ('register', 'NN'), ('2022', 'CD'), ('natick', 'JJ'), ('summer', 'NN'), ('strength', 'NN'), ('and', 'CC'), ('conditioning', 'NN'), ('program', 'NN'), ('registration', 'NN'), ('information', 'NN'), ('coming', 'VBG'), ('soon', 'RB')]","[('do', 'v'), ('you', 'n'), ('want', 'v'), ('to', 'n'), ('learn', 'v'), ('to', 'n'), ('hang', 'v'), ('clean', 'a'), ('like', 'n'), ('jake', 'n'), ('tarka', 'n'), ('register', 'n'), ('2022', 'n'), ('natick', 'a'), ('summer', 'n'), ('strength', 'n'), ('and', 'n'), ('conditioning', 'n'), ('program', 'n'), ('registration', 'n'), ('information', 'n'), ('coming', 'v'), ('soon', 'r')]","['do', 'you', 'want', 'to', 'learn', 'to', 'hang', 'clean', 'like', 'jake', 'tarka', 'register', '2022', 'natick', 'summer', 'strength', 'and', 'conditioning', 'program', 'registration', 'information', 'come', 'soon']"
6,"['even', 'if', 'you', 'care', 'negative', 'amount', 'about', 'wrestling', 'sports', 'games', 'wwe', '2k22', 'going', 'to', 'answer', 'interesting', 'questions', 'its', 'also', '1st', ""'simulation"", 'wrestling', 'game', 'not', 'made', 'my', 'yukes', 'even', 'aew', 'game', 'being', 'made', 'by', 'yukes', 'its', 'better', 'and', 'worse', 'changing', 'guard']","[('even', 'RB'), ('if', 'IN'), ('you', 'PRP'), ('care', 'VBP'), ('negative', 'JJ'), ('amount', 'NN'), ('about', 'IN'), ('wrestling', 'VBG'), ('sports', 'NNS'), ('games', 'NNS'), ('wwe', 'VBP'), ('2k22', 'CD'), ('going', 'VBG'), ('to', 'TO'), ('answer', 'VB'), ('interesting', 'JJ'), ('questions', 'NNS'), ('its', 'PRP$'), ('also', 'RB'), ('1st', 'CD'), (""'simulation"", 'NN'), ('wrestling', 'NN'), ('game', 'NN'), ('not', 'RB'), ('made', 'VBN'), ('my', 'PRP$'), ('yukes', 'NNS'), ('even', 'RB'), ('aew', 'VBP'), ('game', 'NN'), ('being', 'VBG'), ('made', 'VBN'), ('by', 'IN'), ('yukes', 'NNS'), ('its', 'PRP$'), ('better', 'JJR'), ('and', 'CC'), ('worse', 'JJR'), ('changing', 'VBG'), ('guard', 'NN')]","[('even', 'r'), ('if', 'n'), ('you', 'n'), ('care', 'v'), ('negative', 'a'), ('amount', 'n'), ('about', 'n'), ('wrestling', 'v'), ('sports', 'n'), ('games', 'n'), ('wwe', 'v'), ('2k22', 'n'), ('going', 'v'), ('to', 'n'), ('answer', 'v'), ('interesting', 'a'), ('questions', 'n'), ('its', 'n'), ('also', 'r'), ('1st', 'n'), (""'simulation"", 'n'), ('wrestling', 'n'), ('game', 'n'), ('not', 'r'), ('made', 'v'), ('my', 'n'), ('yukes', 'n'), ('even', 'r'), ('aew', 'v'), ('game', 'n'), ('being', 'v'), ('made', 'v'), ('by', 'n'), ('yukes', 'n'), ('its', 'n'), ('better', 'a'), ('and', 'n'), ('worse', 'a'), ('changing', 'v'), ('guard', 'n')]","['even', 'if', 'you', 'care', 'negative', 'amount', 'about', 'wrestle', 'sport', 'game', 'wwe', '2k22', 'go', 'to', 'answer', 'interesting', 'question', 'it', 'also', '1st', ""'simulation"", 'wrestling', 'game', 'not', 'make', 'my', 'yukes', 'even', 'aew', 'game', 'be', 'make', 'by', 'yukes', 'it', 'good', 'and', 'bad', 'change', 'guard']"
7,"['this', 'pakistan', '’', 's', 'strong', 'car', 'mafia..', 'and', 'worst', 'people', 'still', 'love', 'to', 'buy', 'these', 'ghee', 'dhabasss']","[('this', 'DT'), ('pakistan', 'JJ'), ('’', 'NN'), ('s', 'NN'), ('strong', 'JJ'), ('car', 'NN'), ('mafia..', 'NN'), ('and', 'CC'), ('worst', 'JJS'), ('people', 'NNS'), ('still', 'RB'), ('love', 'VBP'), ('to', 'TO'), ('buy', 'VB'), ('these', 'DT'), ('ghee', 'NNS'), ('dhabasss', 'VBP')]","[('this', 'n'), ('pakistan', 'a'), ('’', 'n'), ('s', 'n'), ('strong', 'a'), ('car', 'n'), ('mafia..', 'n'), ('and', 'n'), ('worst', 'a'), ('people', 'n'), ('still', 'r'), ('love', 'v'), ('to', 'n'), ('buy', 'v'), ('these', 'n'), ('ghee', 'n'), ('dhabasss', 'v')]","['this', 'pakistan', '’', 's', 'strong', 'car', 'mafia..', 'and', 'bad', 'people', 'still', 'love', 'to', 'buy', 'these', 'ghee', 'dhabasss']"
8,"['good', 'evening', 'dear', 'thank', 'you', 'so', 'much', 'we', 'all', 'trying', 'to', 'stay', 'calm', 'and', 'strong', 'and', 'course', 'we', 'all', 'believe', 'and', 'pray', '🙏']","[('good', 'JJ'), ('evening', 'NN'), ('dear', 'JJ'), ('thank', 'NN'), ('you', 'PRP'), ('so', 'RB'), ('much', 'JJ'), ('we', 'PRP'), ('all', 'DT'), ('trying', 'VBG'), ('to', 'TO'), ('stay', 'VB'), ('calm', 'JJ'), ('and', 'CC'), ('strong', 'JJ'), ('and', 'CC'), ('course', 'NN'), ('we', 'PRP'), ('all', 'DT'), ('believe', 'VBP'), ('and', 'CC'), ('pray', 'VBP'), ('🙏', 'NN')]","[('good', 'a'), ('evening', 'n'), ('dear', 'a'), ('thank', 'n'), ('you', 'n'), ('so', 'r'), ('much', 'a'), ('we', 'n'), ('all', 'n'), ('trying', 'v'), ('to', 'n'), ('stay', 'v'), ('calm', 'a'), ('and', 'n'), ('strong', 'a'), ('and', 'n'), ('course', 'n'), ('we', 'n'), ('all', 'n'), ('believe', 'v'), ('and', 'n'), ('pray', 'v'), ('🙏', 'n')]","['good', 'evening', 'dear', 'thank', 'you', 'so', 'much', 'we', 'all', 'try', 'to', 'stay', 'calm', 'and', 'strong', 'and', 'course', 'we', 'all', 'believe', 'and', 'pray', '🙏']"
9,"['—', 'random', 'direction', 'i', 'am', 'over', 'today', 'and', 'i', 'wish', 'this', 'lady', 'would', 'retire', 'already', 'because', 'she', 'been', 'nothing', 'but', 'pain', 'in', 'ass', 'since', 'me', 'and', 'miranda', 'started', 'here', 'i', 'get', 'that', 'we', 'are', 'younger', 'but', 'that', 'does', 'not', 'mean', 'you', 'should', 'ignore', 'what', 'we', 'say', 'when', 'we', 'have', 'absolutely', 'no', 'reason', 'to', '—']","[('—', 'JJ'), ('random', 'JJ'), ('direction', 'NN'), ('i', 'NN'), ('am', 'VBP'), ('over', 'IN'), ('today', 'NN'), ('and', 'CC'), ('i', 'JJ'), ('wish', 'VBP'), ('this', 'DT'), ('lady', 'NN'), ('would', 'MD'), ('retire', 'VB'), ('already', 'RB'), ('because', 'IN'), ('she', 'PRP'), ('been', 'VBN'), ('nothing', 'NN'), ('but', 'CC'), ('pain', 'NN'), ('in', 'IN'), ('ass', 'NN'), ('since', 'IN'), ('me', 'PRP'), ('and', 'CC'), ('miranda', 'VB'), ('started', 'VBN'), ('here', 'RB'), ('i', 'JJ'), ('get', 'VBP'), ('that', 'IN'), ('we', 'PRP'), ('are', 'VBP'), ('younger', 'JJR'), ('but', 'CC'), ('that', 'IN'), ('does', 'VBZ'), ('not', 'RB'), ('mean', 'VB'), ('you', 'PRP'), ('should', 'MD'), ('ignore', 'VB'), ('what', 'WP'), ('we', 'PRP'), ('say', 'VBP'), ('when', 'WRB'), ('we', 'PRP'), ('have', 'VBP'), ('absolutely', 'RB'), ('no', 'DT'), ('reason', 'NN'), ('to', 'TO'), ('—', 'VB')]","[('—', 'a'), ('random', 'a'), ('direction', 'n'), ('i', 'n'), ('am', 'v'), ('over', 'n'), ('today', 'n'), ('and', 'n'), ('i', 'a'), ('wish', 'v'), ('this', 'n'), ('lady', 'n'), ('would', 'n'), ('retire', 'v'), ('already', 'r'), ('because', 'n'), ('she', 'n'), ('been', 'v'), ('nothing', 'n'), ('but', 'n'), ('pain', 'n'), ('in', 'n'), ('ass', 'n'), ('since', 'n'), ('me', 'n'), ('and', 'n'), ('miranda', 'v'), ('started', 'v'), ('here', 'r'), ('i', 'a'), ('get', 'v'), ('that', 'n'), ('we', 'n'), ('are', 'v'), ('younger', 'a'), ('but', 'n'), ('that', 'n'), ('does', 'v'), ('not', 'r'), ('mean', 'v'), ('you', 'n'), ('should', 'n'), ('ignore', 'v'), ('what', 'n'), ('we', 'n'), ('say', 'v'), ('when', 'n'), ('we', 'n'), ('have', 'v'), ('absolutely', 'r'), ('no', 'n'), ('reason', 'n'), ('to', 'n'), ('—', 'v')]","['—', 'random', 'direction', 'i', 'be', 'over', 'today', 'and', 'i', 'wish', 'this', 'lady', 'would', 'retire', 'already', 'because', 'she', 'be', 'nothing', 'but', 'pain', 'in', 'as', 'since', 'me', 'and', 'miranda', 'start', 'here', 'i', 'get', 'that', 'we', 'be', 'young', 'but', 'that', 'do', 'not', 'mean', 'you', 'should', 'ignore', 'what', 'we', 'say', 'when', 'we', 'have', 'absolutely', 'no', 'reason', 'to', '—']"
